run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260627-180005-2009-video-search,2026-06-27T18:00:05.212957+00:00,complete,java,2009 - video search,7,spring,anthropic_claude-sonnet-4-6,406.932,59890,31617,91507,15,0.027954,7,490,1,23,1,0,0.0,0,140.562,45.671,1,1.0,1.0,7,0,True,True,1,4,0.0,0.0,1.0,3992.7,2107.8,406.93,4.0,1,1.0
20260627-180307-dineout-srs,2026-06-27T18:03:07.336794+00:00,complete,javascript,dineout_srs,26,express,anthropic_claude-sonnet-4-6,1671.389,241518,114049,355567,85,0.104657,26,1439,10,106,10,8,0.8,0,839.808,1.48,1,1.0,1.0,4,8,True,True,1,4,0.0,0.8462,1.0,2841.4,1341.8,1671.39,1.96,1,1.0
20260627-180325-human,2026-06-27T18:03:25.014145+00:00,complete,java,Human,2,spring,anthropic_claude-sonnet-4-6,197.363,27563,15126,42689,10,0.01321,2,277,2,9,2,2,1.0,0,62.334,0.003,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,2756.3,1512.6,197.36,1.0,0.0,1.0
20260627-180355-human,2026-06-27T18:03:55.085771+00:00,complete,java,Human,2,spring,deepseek_deepseek-v3_2,227.46,30093,6803,36896,13,0.008596,2,94,2,3,2,1,0.5,0,66.437,0.003,1,0.0,0.0,0,1,True,True,1,4,0.0,0.5,0.0,2314.8,523.3,227.46,2.5,0.0,0.5
20260627-180511-dineout-srs,2026-06-27T18:05:11.861318+00:00,complete,javascript,dineout_srs,26,express,deepseek_deepseek-v3_2,1795.924,187239,55958,243197,91,0.061661,26,863,10,58,10,5,0.5,0,501.249,1.382,1,0.6666666666666666,0.9230769230769231,3,5,True,True,1,4,0.0,0.6154,0.9231,2057.6,614.9,1795.92,2.23,1,0.6923
20260627-180537-human,2026-06-27T18:05:37.507217+00:00,complete,java,Human,2,spring,google_gemini-3_1-pro-preview,329.872,19302,40210,59512,11,0.027021,2,136,2,8,2,2,1.0,0,68.716,0.003,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,1754.7,3655.5,329.87,1.5,0.0,1.0
20260627-181523-kinmail-srs,2026-06-27T18:15:23.539263+00:00,complete,javascript,kinmail_srs,13,express,google_gemini-3_1-pro-preview,609.437,45184,81359,126543,25,0.055593,13,271,2,0,2,2,1.0,0,268.78,0.005,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,1807.4,3254.4,609.44,2.23,0.0,1.0
20260627-181801-kinmail-srs,2026-06-27T18:18:01.346120+00:00,complete,javascript,kinmail_srs,13,express,anthropic_claude-sonnet-4-6,767.245,122823,59509,182332,29,0.054129,13,842,2,48,2,0,0.0,0,331.527,4.22,1,0.5384615384615384,0.8125,13,0,True,True,1,4,0.0,0.0,0.8125,4235.3,2052.0,767.25,4.0,1,0.5385
20260627-183706-dineout-srs,2026-06-27T18:37:06.178361+00:00,complete,java,dineout_srs,26,spring,anthropic_claude-sonnet-4-6,1886.628,281340,150659,431999,78,0.132596,14,1922,10,100,10,7,0.7,2,758.429,70.837,1,0.0,0.0,7,7,True,True,1,4,0.0,0.7308,0.0,3606.9,1931.5,1886.63,2.31,1,0.7308
20260627-183717-dineout-srs,2026-06-27T18:37:17.327592+00:00,complete,java,dineout_srs,26,spring,deepseek_deepseek-v3_2,1897.825,206415,75080,281495,88,0.07601,19,1457,10,54,10,5,0.5,0,598.877,66.488,1,0.0,0.0,7,5,True,True,1,4,0.0,0.4615,0.0,2345.6,853.2,1897.83,3.12,1,0.4615
20260627-184346-0000-gamma-j,2026-06-27T18:43:46.766327+00:00,complete,python,0000 - gamma j,6,fastapi,openai_gpt-5_1,3455.524,2019683,420456,2440139,202,6.431632,6,1303,6,28,6,2,0.333,0,200.461,16.202,1,0.0,0.3684210526315789,4,2,True,True,1,4,0.0,0.3333,0.3684,9998.4,2081.5,3455.52,3.0,5,0.3333
20260627-185355-2009-video-search,2026-06-27T18:53:55.469443+00:00,complete,python,2009 - video search,7,fastapi,openai_gpt-5_1,606.924,92404,50135,142539,43,0.043942,7,757,1,21,1,0,0.0,0,64.585,13.135,1,0.0,0.0,7,0,True,True,1,4,0.0,0.0,0.0,2148.9,1165.9,606.92,4.0,5,0.0
20260627-185502-human,2026-06-27T18:55:02.988877+00:00,complete,python,Human,2,fastapi,openai_gpt-5_1,65.581,18341,6396,24737,10,0.006589,2,305,2,8,2,2,1.0,0,17.267,0.003,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,1834.1,639.6,65.58,1.0,0.0,1.0
20260627-185841-kinmail-srs,2026-06-27T18:58:41.710177+00:00,complete,java,kinmail_srs,13,spring,anthropic_claude-sonnet-4-6,672.442,82051,55368,137419,19,0.045528,6,705,2,46,2,1,0.5,1,264.82,39.121,1,0.0,0.0,5,1,True,True,1,4,0.0,0.6154,0.0,4318.5,2914.1,672.44,2.15,1,0.6154
20260627-190048-kinmail-srs,2026-06-27T19:00:48.355071+00:00,complete,java,kinmail_srs,13,spring,google_gemini-3_1-pro-preview,799.096,49460,111175,160635,15,0.074124,2,312,2,25,2,2,1.0,0,338.501,0.001,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,3297.3,7411.7,799.1,2.85,0.0,1.0
20260627-195225-kinmail-srs,2026-06-27T19:52:25.864335+00:00,complete,python,kinmail_srs,13,fastapi,openai_gpt-5_1,1111.497,200648,99060,299708,81,0.089533,13,1358,2,44,2,0,0.0,0,139.751,25.209,1,0.0,0.2727272727272727,13,0,True,True,1,4,0.0,0.0,0.2727,2477.1,1223.0,1111.5,4.0,5,0.0
20260627-210646-dineout-srs,2026-06-27T21:06:46.900872+00:00,complete,javascript,dineout_srs,26,express,google_gemini-3_1-pro-preview,1734.238,132563,238546,371109,82,0.163012,26,481,10,45,10,10,1.0,0,851.575,0.004,1,0.0,0.0,0,10,True,True,1,4,0.0,1.0,0.0,1616.6,2909.1,1734.24,1.5,0.0,1.0
20260627-213727-dineout-srs,2026-06-27T21:37:27.126303+00:00,complete,python,dineout_srs,26,fastapi,openai_gpt-5_1,3574.304,2297840,466566,2764406,366,6.425954,23,2685,10,91,10,2,0.2,0,383.424,37.676,1,0.0,0.0,21,5,True,True,1,4,0.0,0.4615,0.0,6278.3,1274.8,3574.3,3.5,5,0.4615
20260627-233356-dineout-srs,2026-06-27T23:33:56.403092+00:00,failed,java,dineout_srs,26,spring,google_gemini-3_1-pro-preview,0,116249,248501,364750,63,0.166538,,,,,,,,,,,,,,,,True,True,1,4,0.0,,,1845.2,3944.5,0,,,
